cropname	cropid	reg	plantday	lengthini	kcbini	lengthdev	lengthmid	kcbmid	lengthlate	kcbend	dlref	imm_start	imm_end
Wheat_S1	1	1	316	70	0.15	92	62	0.15	28	1.1	0.55	0	0
Wheat_S2	1	2	212	25	0.15	28	55	0.15	30	1.1	0.55	0	0
Maize_S1	1	3	23	21	0.15	36	52	0.15	20	1.15	0.525	0	0
Maize_S2	1	4	146	25	0.15	35	43	0.15	28	1.15	0.525	0	0
Rice_S1	2	5	329	30	1	30	70	0.7	35	1.15	0.2	329	119
Rice_S2	2	6	202	30	1	30	60	0.7	30	1.15	0.2	202	342
Barley_S1	1	7	360	25	0.15	45	57	0.15	33	1.1	0.55	0	0
Barley_S2	1	8	163	25	0.15	28	55	0.15	30	1.1	0.55	0	0
Rye_S1	1	9	303	25	0.85	45	57	0.95	33	1	0.55	0	0
Rye_S2	1	10	206	25	0.85	28	55	0.95	30	1	0.55	0	0
Millet_S1	1	11	287	25	0.85	45	57	0.95	33	1	0.55	0	0
Millet_S2	1	12	167	18	0.85	28	48	0.95	30	1	0.55	0	0
Sorghum_S1	1	13	300	25	0.15	45	57	0.35	33	0.95	0.525	0	0
Sorghum_S2	1	14	188	20	0.15	35	43	0.35	30	0.95	0.525	0	0
Soybeans_S1	1	15	330	15	0.15	15	40	0.5	15	1.15	0.5	0	0
Soybeans_S2	1	16	159	20	0.15	30	68	0.5	28	1.15	0.5	0	0
Sunflower_S1	1	17	347	25	0.15	35	45	0.25	25	0.95	0.45	0	0
Sunflower_S2	1	18	152	25	0.15	35	45	0.25	25	0.95	0.45	0	0
Potatoes_S1	1	19	43	28	0.15	33	48	0.65	28	1.1	0.35	0	0
Potatoes_S2	1	20	109	33	0.15	32	55	0.65	27	1.1	0.35	0	0
SugarCane	1	21	48	44	0.4	59	174	0.75	88	1.25	0.65	0	0
SugarBeet_S1	1	22	81	35	0.15	67	83	0.5	45	1.15	0.55	0	0
SugarBeet_S2	1	23	130	33	0.15	38	70	0.5	29	1.15	0.55	0	0
OilPalm	1	24	34	60	0.85	90	120	0.9	95	0.9	0.65	0	0
Raspeseed_S1	1	25	306	25	0.15	35	45	0.25	25	0.95	0.6	0	0
Raspeseed_S2	1	26	237	25	0.15	35	45	0.25	25	0.95	0.6	0	0
Groundnuts_S1	1	27	358	20	0.4	60	30	0.6	40	1.05	0.6	0	0
Groundnuts_S2	1	28	167	10	0.4	30	80	0.6	20	1.05	0.6	0	0
Pulses_S1	1	29	35	25	0.15	35	70	0.5	40	1.1	0.47	0	0
Pulses_S2	1	30	162	23	0.15	28	40	0.5	23	1.1	0.47	0	0
Citrus	1	31	46	60	0.65	90	120	0.67	95	0.62	0.5	0	0
DatePalm	1	32	42	60	0.8	90	120	0.85	95	0.85	0.5	0	0
Grapes	1	33	41	23	0.15	50	81	0.4	55	0.725	0.5	0	0
Cotton_S1	1	34	12	30	0.15	50	60	0.5	55	1.1	0.4	0	0
Cotton_S2	1	35	145	35	0.15	63	53	0.5	48	1.1	0.65	0	0
Coffe	1	36	47	60	0.9	90	120	0.975	95	0.975	0.65	0	0
OtherPerennial	1	37	46	60	0.65	90	120	0.975	95	0.975	0.4	0	0
FodderGrasses	1	38	38	25	0.31	35	45	0.8	25	0.9	0.575	0	0
OtherSeasonal_S1	1	39	337	23	0.45	63	113	0.7	40	0.93	0.52	0	0
OtherSeasonal_S2	1	40	160	23	0.45	63	113	0.7	40	0.93	0.52	0	0
Default_rainfed	1	41	0	0	0	0	0	0	0	0	0	0	0
Default_rainfed	2	41	0	0	0	0	0	0	0	0	0	0	0
