SUBID	TMAXOBSID	POBSID	TMINOBSID	TOBSID	TOBSELEV
300027	134561	134561	134561	134561	179.0
300132	135281	135281	135281	135281	324.0
300138	134921	134921	134921	134921	171.0
300170	134922	134922	134922	134922	212.0
300227	134196	134196	134196	134196	348.0
300363	133845	133845	133845	133845	-1.0
300398	135637	135637	135637	135637	362.0
300558	134196	134196	134196	134196	348.0
300701	134558	134558	134558	134558	269.0
300730	133120	133120	133120	133120	219.0
300742	134564	134564	134564	134564	26.0
300801	134916	134916	134916	134916	485.0
300822	133836	133836	133836	133836	364.0
300925	137078	137078	137078	137078	446.0
300932	133126	133126	133126	133126	2.0
300951	134204	134204	134204	134204	11.0
300958	134565	134565	134565	134565	15.0
301045	133845	133845	133845	133845	-1.0
301133	133846	133846	133846	133846	1.0
301143	135282	135282	135282	135282	325.0
301150	135275	135275	135275	135275	471.0
301170	135276	135276	135276	135276	225.0
301214	135643	135643	135643	135643	109.0
301228	134922	134922	134922	134922	212.0
301274	134923	134923	134923	134923	71.0
301492	135276	135276	135276	135276	225.0
301646	135276	135276	135276	135276	225.0
301662	134565	134565	134565	134565	15.0
301752	134916	134916	134916	134916	485.0
301942	135636	135636	135636	135636	659.0
302151	135996	135996	135996	135996	650.0
302684	135996	135996	135996	135996	650.0
303342	135282	135282	135282	135282	325.0
303488	134206	134206	134206	134206	2.0
303537	133479	133479	133479	133479	334.0
303689	134566	134566	134566	134566	2.0
303740	136001	136001	136001	136001	269.0
303750	133125	133125	133125	133125	1.0
303928	132764	132764	132764	132764	1.0
304007	133124	133124	133124	133124	-2.0
304235	133120	133120	133120	133120	219.0
304428	133480	133480	133480	133480	285.0
304881	136715	136715	136715	136715	595.0
304910	137799	137799	137799	137799	418.0
305025	136001	136001	136001	136001	269.0
305119	137440	137440	137440	137440	360.0
305481	135641	135641	135641	135641	399.0
305846	133479	133479	133479	133479	334.0
306241	138160	138160	138160	138160	566.0
306288	135273	135273	135273	135273	1177.0
306306	132403	132403	132403	132403	1.0
306418	133845	133845	133845	133845	-1.0
306481	134553	134553	134553	134553	708.0
306500	136713	136713	136713	136713	1930.0
306507	135274	135274	135274	135274	610.0
306513	135274	135274	135274	135274	610.0
306514	135634	135634	135634	135634	540.0
306520	136353	136353	136353	136353	1806.0
306522	136718	136718	136718	136718	382.0
306524	134560	134560	134560	134560	454.0
306528	135994	135994	135994	135994	741.0
306530	136359	136359	136359	136359	322.0
306531	135998	135998	135998	135998	202.0
306534	136719	136719	136719	136719	291.0
306537	136359	136359	136359	136359	322.0
306538	136358	136358	136358	136358	281.0
306540	136357	136357	136357	136357	355.0
306542	134920	134920	134920	134920	318.0
306546	134198	134198	134198	134198	241.0
306549	136357	136357	136357	136357	355.0
306551	137799	137799	137799	137799	418.0
306553	134199	134199	134199	134199	310.0
306586	132403	132403	132403	132403	1.0
306592	137440	137440	137440	137440	360.0
306634	133837	133837	133837	133837	288.0
306640	133836	133836	133836	133836	364.0
306653	134918	134918	134918	134918	301.0
306663	134918	134918	134918	134918	301.0
306746	133483	133483	133483	133483	5.0
306752	134203	134203	134203	134203	21.0
306753	133483	133483	133483	133483	5.0
306757	133841	133841	133841	133841	159.0
306758	134204	134204	134204	134204	11.0
306765	133841	133841	133841	133841	159.0
306922	134923	134923	134923	134923	71.0
307014	137798	137798	137798	137798	423.0
307129	135633	135633	135633	135633	1764.0
307188	133843	133843	133843	133843	15.0
307192	133843	133843	133843	133843	15.0
307194	136001	136001	136001	136001	269.0
307207	136001	136001	136001	136001	269.0
307288	134202	134202	134202	134202	49.0
307368	135273	135273	135273	135273	1177.0
307378	135273	135273	135273	135273	1177.0
307439	134914	134914	134914	134914	681.0
307447	134913	134913	134913	134913	949.0
307718	133846	133846	133846	133846	1.0
307719	133845	133845	133845	133845	-1.0
307788	135280	135280	135280	135280	305.0
307825	134553	134553	134553	134553	708.0
308079	133124	133124	133124	133124	-2.0
308202	134558	134558	134558	134558	269.0
308307	133837	133837	133837	133837	288.0
308492	134198	134198	134198	134198	241.0
308528	134917	134917	134917	134917	329.0
308811	133845	133845	133845	133845	-1.0
308882	133482	133482	133482	133482	33.0
309015	136717	136717	136717	136717	506.0
309101	133845	133845	133845	133845	-1.0
309104	134206	134206	134206	134206	2.0
309110	132763	132763	132763	132763	1.0
309115	132403	132403	132403	132403	1.0
309119	132763	132763	132763	132763	1.0
309134	132403	132403	132403	132403	1.0
309135	132402	132402	132402	132402	3.0
309167	135277	135277	135277	135277	171.0
309184	135637	135637	135637	135637	362.0
309349	134559	134559	134559	134559	333.0
309385	133122	133122	133122	133122	14.0
309404	135634	135634	135634	135634	540.0
309434	136717	136717	136717	136717	506.0
309552	135278	135278	135278	135278	327.0
309565	134914	134914	134914	134914	681.0
309571	135273	135273	135273	135273	1177.0
309576	135995	135995	135995	135995	568.0
309581	135634	135634	135634	135634	540.0
309584	136353	136353	136353	136353	1806.0
309585	135995	135995	135995	135995	568.0
309588	136358	136358	136358	136358	281.0
309593	135635	135635	135635	135635	724.0
309603	136354	136354	136354	136354	984.0
309608	136714	136714	136714	136714	1070.0
309624	136714	136714	136714	136714	1070.0
309634	132763	132763	132763	132763	1.0
309667	136714	136714	136714	136714	1070.0
309684	134200	134200	134200	134200	503.0
309693	136359	136359	136359	136359	322.0
309756	134558	134558	134558	134558	269.0
309761	135998	135998	135998	135998	202.0
309764	134918	134918	134918	134918	301.0
309781	134924	134924	134924	134924	49.0
309794	136719	136719	136719	136719	291.0
309796	137800	137800	137800	137800	458.0
309798	137800	137800	137800	137800	458.0
309804	137438	137438	137438	137438	419.0
309806	137799	137799	137799	137799	418.0
309815	132763	132763	132763	132763	1.0
309818	134202	134202	134202	134202	49.0
309822	134201	134201	134201	134201	278.0
309823	132763	132763	132763	132763	1.0
309829	135642	135642	135642	135642	445.0
309831	134563	134563	134563	134563	40.0
309842	134921	134921	134921	134921	171.0
309843	134562	134562	134562	134562	55.0
309853	134921	134921	134921	134921	171.0
309857	134562	134562	134562	134562	55.0
309868	134563	134563	134563	134563	40.0
309882	135643	135643	135643	135643	109.0
309889	135643	135643	135643	135643	109.0
309891	135283	135283	135283	135283	75.0
309895	135280	135280	135280	135280	305.0
309897	136003	136003	136003	136003	213.0
309905	135639	135639	135639	135639	155.0
309906	135279	135279	135279	135279	303.0
309910	135279	135279	135279	135279	303.0
309913	135279	135279	135279	135279	303.0
309917	136000	136000	136000	136000	175.0
309920	135640	135640	135640	135640	283.0
309929	136000	136000	136000	136000	175.0
309933	135639	135639	135639	135639	155.0
309934	135638	135638	135638	135638	159.0
309938	135999	135999	135999	135999	212.0
309949	136717	136717	136717	136717	506.0
309963	137079	137079	137079	137079	291.0
309964	137080	137080	137080	137080	337.0
309967	135635	135635	135635	135635	724.0
309973	135995	135995	135995	135995	568.0
309976	136719	136719	136719	136719	291.0
309983	137439	137439	137439	137439	317.0
309985	136719	136719	136719	136719	291.0
309989	136355	136355	136355	136355	533.0
310008	136360	136360	136360	136360	306.0
310011	135275	135275	135275	135275	471.0
310025	136719	136719	136719	136719	291.0
310028	135276	135276	135276	135276	225.0
310033	137439	137439	137439	137439	317.0
310045	137440	137440	137440	137440	360.0
310064	134559	134559	134559	134559	333.0
310070	132762	132762	132762	132762	6.0
310071	134199	134199	134199	134199	310.0
310077	133836	133836	133836	133836	364.0
310079	133837	133837	133837	133837	288.0
310112	135994	135994	135994	135994	741.0
310124	133119	133119	133119	133119	254.0
310128	135276	135276	135276	135276	225.0
310160	133843	133843	133843	133843	15.0
310167	134203	134203	134203	134203	21.0
310198	134563	134563	134563	134563	40.0
310209	135635	135635	135635	135635	724.0
310280	134913	134913	134913	134913	949.0
310289	134565	134565	134565	134565	15.0
310572	137074	137074	137074	137074	1721.0
310574	137075	137075	137075	137075	810.0
310628	135995	135995	135995	135995	568.0
310660	134913	134913	134913	134913	949.0
310679	135633	135633	135633	135633	1764.0
310741	136355	136355	136355	136355	533.0
310789	134922	134922	134922	134922	212.0
310836	135993	135993	135993	135993	1866.0
311012	135994	135994	135994	135994	741.0
311031	135639	135639	135639	135639	155.0
311091	135998	135998	135998	135998	202.0
311130	136357	136357	136357	136357	355.0
311173	135633	135633	135633	135633	1764.0
311241	136358	136358	136358	136358	281.0
311286	136358	136358	136358	136358	281.0
311304	133125	133125	133125	133125	1.0
311338	135998	135998	135998	135998	202.0
311355	133119	133119	133119	133119	254.0
311369	136357	136357	136357	136357	355.0
311384	133838	133838	133838	133838	268.0
311410	133842	133842	133842	133842	34.0
311436	134554	134554	134554	134554	730.0
311454	134915	134915	134915	134915	370.0
311475	133119	133119	133119	133119	254.0
311484	134554	134554	134554	134554	730.0
311487	133837	133837	133837	133837	288.0
311490	135997	135997	135997	135997	459.0
311493	134198	134198	134198	134198	241.0
311502	134918	134918	134918	134918	301.0
311505	134558	134558	134558	134558	269.0
311507	134556	134556	134556	134556	481.0
311511	134197	134197	134197	134197	258.0
311517	133838	133838	133838	133838	268.0
311520	136713	136713	136713	136713	1930.0
311521	133837	133837	133837	133837	288.0
311537	134915	134915	134915	134915	370.0
311551	134917	134917	134917	134917	329.0
311552	134915	134915	134915	134915	370.0
311555	133479	133479	133479	133479	334.0
311625	135997	135997	135997	135997	459.0
311651	134557	134557	134557	134557	261.0
311652	134917	134917	134917	134917	329.0
