!Landuses: 1=See GeoClassLegend_20171027xlsx													
!Soils: 1=Water&Floodplain; 2=Urban; 3=Rock_Notexture; 4=AverageSoil; 5=RiceSoil: 													
!Combination	ElevLanduse	Soil	Cropid-main	Cropid-2nd	Rotation	Vegetationstyp	Special-class	Tile-depth	Drain-depth	#Soil-layers	Depth1	Depth2	Depth3
1	1	1	0	0	0	3	1	0	2	3	0.2	1.25	2
2	2	1	0	0	0	3	2	0	1	1	10		
3	3	1	0	0	0	3	12	0	2	3	0.2	1.25	2
4	4	2	0	0	0	1	0	0	0.75	3	0.1	0.5	1
5	5	3	0	0	0	1	0	0	0.75	3	0.25	0.5	1
6	6	3	0	0	0	1	3	0	0.75	3	0.25	0.5	1
7	7	3	0	0	0	1	0	0	0.75	3	0.25	0.5	1
8	8	3	0	0	0	1	0	0	0.75	3	0.1	0.5	1
9	9	3	0	0	0	1	0	0	0.75	3	0.25	0.5	1
10	10	3	0	0	0	1	0	0	0.75	3	0.25	0.5	1
11	11	3	0	0	0	1	0	0	0.75	3	0.1	0.5	1
12	12	3	0	0	0	1	0	0	0.75	3	0.25	0.5	1
13	13	3	0	0	0	1	0	0	0.75	3	0.25	0.5	1
14	14	3	0	0	0	1	0	0	0.75	3	0.1	0.5	1
15	15	3	0	0	0	1	0	0	0.75	3	0.25	0.5	1
16	16	3	0	0	0	1	0	0	0.75	3	0.25	0.5	1
17	17	3	0	0	0	1	0	0	0.75	3	0.1	0.5	1
18	18	3	0	0	0	1	0	0	0.75	3	0.25	0.5	1
19	19	3	0	0	0	1	0	0	0.75	3	0.25	0.5	1
20	20	3	0	0	0	1	0	0	0.75	3	0.1	0.5	1
21	21	3	0	0	0	1	0	0	0.75	3	0.25	0.5	1
22	22	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
23	23	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
24	24	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
25	25	4	1	0	0	1	0	0	1.25	3	0.25	0.75	1.5
26	26	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
27	27	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
28	28	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
29	29	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
30	30	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
31	31	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
32	32	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
33	33	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
34	34	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
35	35	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
36	36	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
37	37	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
38	38	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
39	39	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
40	40	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
41	41	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
42	42	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
43	43	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
44	44	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
45	45	4	0	0	0	1	0	0	1	3	0.25	0.6	1.25
46	46	4	0	0	0	1	0	0	1	3	0.25	0.6	1.25
47	47	4	0	0	0	1	0	0	1	3	0.25	0.6	1.25
48	48	4	0	0	0	1	0	0	1	3	0.25	0.6	1.25
49	49	4	0	0	0	2	0	0	1.5	3	0.25	1	2
50	50	4	0	0	0	2	0	0	1.5	3	0.25	1	2
51	51	4	0	0	0	1	0	0	1.5	3	0.25	1	2
52	52	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
53	53	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
54	54	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
55	55	4	1	0	0	1	0	0	1.25	3	0.25	0.75	1.5
56	56	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
57	57	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
58	58	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
59	59	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
60	60	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
61	61	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
62	62	4	0	0	0	1	0	0	1.25	3	0.25	0.75	1.5
