LD_ROWNR	SUBID	LAKEDATAID	GRANDID	GLWDID	NAME1	NAME2	TYPE	LAKEID	LDTYPE	AREA	REGVOL	REG_DEPTH	LAKE_DEPTH	W0REF	RATE	EXP	QPROD1	QPROD2	DATUM1	DATUM2	LIMQPROD	REGAMP	QAMP	QPHA	T2MIX	PURPOSE1	PURPOSE2	YEAR	SOURCE_LAKE_DEPTH	SOURCE_REG_DEPTH	SOURCE_REGVOLORIG	SOURCE_AREAORIG	ORIGREGVOL_MCM	REGDEPTH_M_ORIG	AREA_KM2ORIG	CATEGORY	COMMENT	LAKES_FLOOD_PLAIN	COMMENT
1361	-9999	0	0	352	Bodensee	0	Lake	100206	2	536395228	0	0	89.9	392	210.7307434	1.1484803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GLWD	0	0	516	0	0	0	no
1362	309624	914053	0	352	Bodensee	0	Lake	100206	3	78434766	0	0	89.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GLDBv2	0	0	GLWD	0	0	516	0	0	0	no
1363	309667	914054	0	352	Bodensee	0	Lake	100206	3	37502238	0	0	89.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GLDBv2	0	0	GLWD	0	0	516	0	0	0	no
1364	309989	914055	0	352	Bodensee	0	Lake	100206	3	269728123	0	0	89.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GLDBv2	0	0	GLWD	0	0	516	0	0	0	no
1365	310574	914056	0	352	Bodensee	0	Lake	100206	3	85504	0	0	89.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GLDBv2	0	0	GLWD	0	0	516	0	0	0	no
1366	310628	914057	0	352	Bodensee	0	Lake	100206	3	32187734	0	0	89.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GLDBv2	0	0	GLWD	0	0	516	0	0	0	no
1367	310741	917474	0	352	Bodensee	0	Lake	100206	4	118456864	0	0	89.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GLDBv2	0	0	GLWD	0	0	516	0	0	0	no
2276	306481	900183	0	893	Neuchatel	0	Lake	0	1	213855134	0	0	63	421	657.43	2	0	0	0	0	0	0	0	0	0	0	0	0	GLDBv2	0	0	GLWD	0	0	208.6	0	0	0	no
3193	-9999	0	0	1781	Luzern	0	Lake	101144	2	116929207	0	0	117	432	443.81	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GLWD	0	0	101.9	0	0	0	no
3194	310679	914660	0	1781	Luzern	0	Lake	101144	3	16943124	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GLDBv2	0	0	GLWD	0	0	101.9	0	0	0	no
3195	310836	917817	0	1781	Luzern	0	Lake	101144	4	99986083	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GLDBv2	0	0	GLWD	0	0	101.9	0	0	0	no
3863	-9999	0	0	2502	0	0	Lake	101633	2	43947819	0	0	4	-3	198.88	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GLWD	0	0	72.1	0	0	0	no
3864	306753	914780	0	2502	0	0	Lake	101633	3	996563	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GLDBv2	0	0	GLWD	0	0	72.1	0	0	0	no
3865	312591	917900	0	2502	0	0	Lake	101633	4	42951257	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GLDBv2	0	0	GLWD	0	0	72.1	0	0	0	no
4335	311012	901322	0	3076	Wangen_Lachen	0	Lake	0	1	89486012	0	0	48	402	362.01	2	0	0	0	0	0	0	0	0	0	0	0	0	GLDBv2	0	0	GLWD	0	0	59	0	0	0	no
5223	307378	902032	0	4299	0	0	Lake	0	1	47950332	0	0	134	558	214.75	2	0	0	0	0	0	0	0	0	0	0	0	0	GLDBv2	0	0	GLWD	0	0	42.6	0	0	0	no
5831	307447	902553	0	5096	0	0	Lake	0	1	39271090	0	0	32	424	179.92	2	0	0	0	0	0	0	0	0	0	0	0	0	GLDBv2	0	0	GLWD	0	0	35.3	0	0	0	no
5846	312487	902568	0	5114	0	0	Lake	0	1	38213096	0	0	84	413	175.57	2	0	0	0	0	0	0	0	0	0	0	0	0	GLDBv2	0	0	GLWD	0	0	35.2	0	0	0	no
7380	307129	903910	0	7130	0	0	Lake	0	1	30417919	0	0	173.5	564	142.81	2	0	0	0	0	0	0	0	0	0	0	0	0	GLDBv2	0	0	GLWD	0	0	25	0	0	0	no
8224	301045	904672	0	8279	0	0	Lake	0	1	19962208	0	0	1.5	-2	96.8	2	0	0	0	0	0	0	0	0	0	0	0	0	GLDBv2	0	0	GLWD	0	0	21.4	0	0	0	no
8310	311768	904752	0	8394	0	0	Lake	0	1	24754618	0	0	103.3	419	118.19	2	0	0	0	0	0	0	0	0	0	0	0	0	GLDBv2	0	0	GLWD	0	0	21.1	0	0	0	no
8311	307825	904753	0	8395	0	0	Lake	0	1	22561088	0	0	32	423	108.46	2	0	0	0	0	0	0	0	0	0	0	0	0	GLDBv2	0	0	GLWD	0	0	21.1	0	0	0	no
8611	300363	905021	0	8801	0	0	Lake	0	1	20715520	0	0	1.5	-2	100.2	2	0	0	0	0	0	0	0	0	0	0	0	0	GLDBv2	0	0	GLWD	0	0	20.1	0	0	0	no
8965	313068	905328	0	9272	0	0	Lake	0	1	17323854	0	0	3.3	-3	84.81	2	0	0	0	0	0	0	0	0	0	0	0	0	GLDBv2	0	0	GLWD	0	0	19.1	0	0	0	no
9933	315203	906212	0	10535	0	0	Lake	0	1	16228446	0	0	1.3	-3	79.78	2	0	0	0	0	0	0	0	0	0	0	0	0	GLDBv2	0	0	GLWD	0	0	16.8	0	0	0	no
12057	309404	908166	0	13371	0	0	Lake	0	1	13890380	0	0	45.5	504	68.96	2	0	0	0	0	0	0	0	0	0	0	0	0	GLDBv2	0	0	GLWD	0	0	13.3	0	0	0	no
13710	307719	909732	0	15584	0	0	Lake	0	1	10703181	0	0	1.5	-2	54	2	0	0	0	0	0	0	0	0	0	0	0	0	GLDBv2	0	0	GLWD	0	0	11.5	0	0	0	no
20483	309104	913031	6818	0	0	Lauwerszee	Reservoir	0	1	20357550	47.6	2.3	2.53	-2	98.59	2	0	0	0	0	0	0	0	0	0	Floodcontrol	0	1969	REGDEPT*1.1	GRanD	GRanD	GranD	50	2.3	21.4	0	0	0	no
20484	306418	913032	6819	0	Ijsselmeer	Afsluitdijk	Reservoir	0	1	37900595	98.9	2.6	4	-3	174.28	2	0	0	0	0	0	0	0	0	0	Floodcontrol	0	1932	GLDBv2	GRanD	GRanD	GranD	5120	2.6	1962.7	0	0	0	no
20485	309134	913035	6823	0	0	Ooster_Scheldekering	Reservoir	0	1	320717	2.7	8.5	9.35	-1	3.6	2	0	0	0	0	0	0	0	0	0	Floodcontrol	0	1986	REGDEPT*1.1	GRanD	GRanD	GranD	2780	8.5	327.9	0	0	0	no
20486	309115	919003	6824	0	0	Veersedam	Reservoir	0	1	19161218	91.9	4.8	5	0	93.18	2	0	0	0	0	0	0	0	0	0	Floodcontrol	0	1961	GLDBv2	GRanD	GRanD	GranD	107	4.8	22.3	0	0	0	no
